term,int_rate,installment,dti,home_ownership,purpose,verification_status,loan_status,term_num,int_rate_num,risk_flag
 60 months,0.0788,161.76,0.0277,MORTGAGE,car,Verified,Fully Paid,60.0,0.0788,0
 60 months,0.0788,101.1,0.0081,MORTGAGE,car,Verified,Fully Paid,60.0,0.0788,0
 60 months,0.0999,148.7,0.122,MORTGAGE,car,Verified,Fully Paid,60.0,0.0999,0
 60 months,0.0999,191.18,0.2979,MORTGAGE,car,Verified,Fully Paid,60.0,0.0999,0
 60 months,0.0999,286.77,0.0924,MORTGAGE,car,Verified,Fully Paid,60.0,0.0999,0
 60 months,0.1038,182.2,0.0685,MORTGAGE,car,Verified,Fully Paid,60.0,0.1038,0
 60 months,0.1037,145.73,0.1425,MORTGAGE,car,Verified,Fully Paid,60.0,0.1037,0
 60 months,0.1037,235.73,0.2138,MORTGAGE,car,Verified,Fully Paid,60.0,0.1037,0
 60 months,0.0999,127.46,0.1643,MORTGAGE,car,Verified,Fully Paid,60.0,0.0999,0
 60 months,0.1036,332.09,0.0692,MORTGAGE,car,Verified,Fully Paid,60.0,0.1036,0
 60 months,0.1112,244.19,0.1507,MORTGAGE,car,Verified,Fully Paid,60.0,0.1112,0
 60 months,0.1111,366.2,0.2699,MORTGAGE,car,Verified,Fully Paid,60.0,0.1111,0
 60 months,0.1111,283.37,0.1739,MORTGAGE,car,Verified,Fully Paid,60.0,0.1111,0
 60 months,0.1074,151.3,0.1757,MORTGAGE,car,Verified,Fully Paid,60.0,0.1074,0
 60 months,0.1099,119.56,0.2256,MORTGAGE,car,Verified,Fully Paid,60.0,0.1099,0
 60 months,0.1099,208.68,0.2293,MORTGAGE,car,Verified,Fully Paid,60.0,0.1099,0
 60 months,0.1037,85.72,0.2915,MORTGAGE,car,Verified,Fully Paid,60.0,0.1037,0
 60 months,0.1038,182.2,0.0033,MORTGAGE,car,Verified,Fully Paid,60.0,0.1038,0
 60 months,0.1242,359.32,0.2218,MORTGAGE,car,Verified,Fully Paid,60.0,0.1242,0
 60 months,0.1036,364.22,0.0452,MORTGAGE,car,Verified,Fully Paid,60.0,0.1036,0
 60 months,0.1074,86.46,0.2042,MORTGAGE,car,Verified,Fully Paid,60.0,0.1074,0
 60 months,0.0962,262.21,0.1357,MORTGAGE,car,Verified,Fully Paid,60.0,0.0962,0
 60 months,0.1112,370.64,0.1791,MORTGAGE,car,Verified,Fully Paid,60.0,0.1112,0
 60 months,0.1268,216.87,0.0463,MORTGAGE,car,Verified,Fully Paid,60.0,0.1268,0
 60 months,0.1306,45.57,0.1384,MORTGAGE,car,Verified,Fully Paid,60.0,0.1306,0
 60 months,0.1349,115.03,0.143,MORTGAGE,car,Verified,Fully Paid,60.0,0.1349,0
 60 months,0.1343,192.98,0.1139,MORTGAGE,car,Verified,Fully Paid,60.0,0.1343,0
 60 months,0.1527,119.66,0.2284,MORTGAGE,car,Verified,Fully Paid,60.0,0.1527,0
 60 months,0.1427,187.27,0.1656,MORTGAGE,car,Verified,Fully Paid,60.0,0.1427,0
 60 months,0.1417,233.57,0.0783,MORTGAGE,car,Verified,Fully Paid,60.0,0.1417,0
 60 months,0.1398,69.78,0.1361,MORTGAGE,car,Verified,Fully Paid,60.0,0.1398,0
 60 months,0.1223,351.07,0.081,MORTGAGE,car,Verified,Fully Paid,60.0,0.1223,0
 60 months,0.1323,548.91,0.1435,MORTGAGE,car,Verified,Fully Paid,60.0,0.1323,0
 60 months,0.1306,421.51,0.2546,MORTGAGE,car,Verified,Fully Paid,60.0,0.1306,0
 60 months,0.138,347.48,0.1068,MORTGAGE,car,Verified,Fully Paid,60.0,0.138,0
 60 months,0.1602,535.24,0.1048,MORTGAGE,car,Verified,Fully Paid,60.0,0.1602,0
 60 months,0.1557,154.18,0.2283,MORTGAGE,car,Verified,Fully Paid,60.0,0.1557,0
 60 months,0.1749,321.5,0.1695,MORTGAGE,car,Verified,Fully Paid,60.0,0.1749,0
 60 months,0.1491,132.96,0.1873,MORTGAGE,car,Verified,Fully Paid,60.0,0.1491,0
 60 months,0.1599,151.96,0.1922,MORTGAGE,car,Verified,Fully Paid,60.0,0.1599,0
 60 months,0.1565,333.03,0.1683,MORTGAGE,car,Verified,Fully Paid,60.0,0.1565,0
 60 months,0.1645,245.58,0.0088,MORTGAGE,car,Verified,Fully Paid,60.0,0.1645,0
 60 months,0.1799,162.49,0.2396,MORTGAGE,car,Verified,Fully Paid,60.0,0.1799,0
 60 months,0.1714,373.92,0.1596,MORTGAGE,car,Verified,Fully Paid,60.0,0.1714,0
 60 months,0.2062,805.21,0.0496,MORTGAGE,car,Verified,Fully Paid,60.0,0.2062,0
 60 months,0.1966,394.58,0.1045,MORTGAGE,car,Verified,Fully Paid,60.0,0.1966,0
 60 months,0.1112,152.62,0.0799,MORTGAGE,car,Verified,Fully Paid,60.0,0.1112,0
 60 months,0.1149,549.69,0.0604,OWN,car,Verified,Fully Paid,60.0,0.1149,0
 60 months,0.1038,214.35,0.1846,OWN,car,Verified,Fully Paid,60.0,0.1038,0
 60 months,0.1299,181.99,0.1292,OWN,car,Verified,Fully Paid,60.0,0.1299,0
 60 months,0.0714,158.94,0.1886,RENT,car,Verified,Fully Paid,60.0,0.0714,0
 60 months,0.1038,98.6,0.0624,RENT,car,Verified,Fully Paid,60.0,0.1038,0
 60 months,0.1037,171.44,0.1475,RENT,car,Verified,Fully Paid,60.0,0.1037,0
 60 months,0.1111,196.18,0.1325,RENT,car,Verified,Fully Paid,60.0,0.1111,0
 60 months,0.1149,138.53,0.0338,RENT,car,Verified,Fully Paid,60.0,0.1149,0
 60 months,0.1099,208.68,0.0408,RENT,car,Verified,Fully Paid,60.0,0.1099,0
 60 months,0.1036,107.13,0.1055,RENT,car,Verified,Fully Paid,60.0,0.1036,0
 60 months,0.1074,108.07,0.2795,RENT,car,Verified,Fully Paid,60.0,0.1074,0
 60 months,0.1427,210.68,0.0569,RENT,car,Verified,Fully Paid,60.0,0.1427,0
 60 months,0.1399,116.32,0.0352,RENT,car,Verified,Fully Paid,60.0,0.1399,0
 60 months,0.1595,150.61,0.2261,RENT,car,Verified,Fully Paid,60.0,0.1595,0
 60 months,0.1632,342.84,0.1412,RENT,car,Verified,Fully Paid,60.0,0.1632,0
 60 months,0.1557,289.09,0.0251,RENT,car,Verified,Fully Paid,60.0,0.1557,0
 60 months,0.1743,119.16,0.172,RENT,car,Verified,Fully Paid,60.0,0.1743,0
 60 months,0.1719,113.55,0.1611,RENT,car,Verified,Fully Paid,60.0,0.1719,0
 60 months,0.0999,224.11,0.0299,MORTGAGE,car,Verified,Fully Paid,60.0,0.0999,0
 60 months,0.1521,167.31,0.0089,MORTGAGE,car,Verified,Fully Paid,60.0,0.1521,0
 60 months,0.0849,153.84,0.0778,MORTGAGE,car,Not Verified,Current,60.0,0.0849,0
 60 months,0.0999,208.18,0.191,MORTGAGE,car,Not Verified,Current,60.0,0.0999,0
 60 months,0.1059,301.54,0.0784,MORTGAGE,car,Not Verified,Current,60.0,0.1059,0
 60 months,0.1059,116.31,0.018,MORTGAGE,car,Not Verified,Current,60.0,0.1059,0
 60 months,0.1099,130.43,0.1911,MORTGAGE,car,Not Verified,Current,60.0,0.1099,0
 60 months,0.0991,159.03,0.2773,MORTGAGE,car,Not Verified,Current,60.0,0.0991,0
 60 months,0.1149,21.99,0.081,MORTGAGE,car,Not Verified,Current,60.0,0.1149,0
 60 months,0.0999,169.94,0.1015,MORTGAGE,car,Not Verified,Current,60.0,0.0999,0
 60 months,0.0999,95.59,0.0755,MORTGAGE,car,Not Verified,Current,60.0,0.0999,0
 60 months,0.1099,65.22,0.0283,MORTGAGE,car,Not Verified,Current,60.0,0.1099,0
 60 months,0.0999,38.24,0.262,MORTGAGE,car,Not Verified,Current,60.0,0.0999,0
 60 months,0.1065,323.53,0.2661,MORTGAGE,car,Not Verified,Current,60.0,0.1065,0
 60 months,0.1199,222.4,0.1412,MORTGAGE,car,Not Verified,Current,60.0,0.1199,0
 60 months,0.1242,67.38,0.066,MORTGAGE,car,Not Verified,Current,60.0,0.1242,0
 60 months,0.1427,234.09,0.1274,MORTGAGE,car,Not Verified,Current,60.0,0.1427,0
 60 months,0.1727,299.98,0.1683,MORTGAGE,car,Not Verified,Current,60.0,0.1727,0
 60 months,0.0849,82.05,0.1139,OWN,car,Not Verified,Current,60.0,0.0849,0
 60 months,0.1149,112.14,0.1062,OWN,car,Not Verified,Current,60.0,0.1149,0
 60 months,0.1269,56.49,0.1482,OWN,car,Not Verified,Current,60.0,0.1269,0
 60 months,0.0991,254.44,0.0129,RENT,car,Not Verified,Current,60.0,0.0991,0
 60 months,0.1099,54.35,0.1743,RENT,car,Not Verified,Current,60.0,0.1099,0
 60 months,0.1,198.66,0.0484,RENT,car,Not Verified,Current,60.0,0.1,0
 60 months,0.1523,143.47,0.2122,RENT,car,Not Verified,Current,60.0,0.1523,0
 60 months,0.1527,95.73,0.0713,RENT,car,Not Verified,Current,60.0,0.1527,0
 60 months,0.1649,245.8,0.1553,RENT,car,Not Verified,Current,60.0,0.1649,0
 60 months,0.1689,247.94,0.0556,RENT,car,Not Verified,Current,60.0,0.1689,0
 60 months,0.1799,165.03,0.1963,RENT,car,Not Verified,Current,60.0,0.1799,0
 60 months,0.1479,165.76,0.1414,OWN,car,Not Verified,Current,60.0,0.1479,0
 60 months,0.1199,266.88,0.2094,MORTGAGE,car,Source Verified,Current,60.0,0.1199,0
 60 months,0.1099,130.43,0.0768,MORTGAGE,car,Source Verified,Current,60.0,0.1099,0
 60 months,0.1199,66.72,0.0,MORTGAGE,car,Source Verified,Current,60.0,0.1199,0
 60 months,0.1599,145.88,0.2402,MORTGAGE,car,Source Verified,Current,60.0,0.1599,0
 60 months,0.1199,133.44,0.2476,OWN,car,Source Verified,Current,60.0,0.1199,0
 60 months,0.1465,389.51,0.0435,OWN,car,Source Verified,Current,60.0,0.1465,0
 60 months,0.1037,128.58,0.1105,RENT,car,Source Verified,Current,60.0,0.1037,0
 60 months,0.1171,140.33,0.0471,RENT,car,Source Verified,Current,60.0,0.1171,0
 60 months,0.1242,336.86,0.0883,RENT,car,Source Verified,Current,60.0,0.1242,0
 60 months,0.1199,177.92,0.2995,RENT,car,Source Verified,Current,60.0,0.1199,0
 60 months,0.1299,197.91,0.0383,RENT,car,Source Verified,Current,60.0,0.1299,0
 60 months,0.1465,198.3,0.0814,RENT,car,Source Verified,Current,60.0,0.1465,0
 60 months,0.1689,148.77,0.1053,RENT,car,Source Verified,Current,60.0,0.1689,0
 60 months,0.1942,287.9,0.2312,RENT,car,Source Verified,Current,60.0,0.1942,0
 60 months,0.1099,108.69,0.2556,MORTGAGE,car,Verified,Current,60.0,0.1099,0
 60 months,0.1065,107.85,0.2253,MORTGAGE,car,Verified,Current,60.0,0.1065,0
 60 months,0.1099,21.74,0.0534,MORTGAGE,car,Verified,Current,60.0,0.1099,0
 60 months,0.1758,352.32,0.1001,MORTGAGE,car,Verified,Current,60.0,0.1758,0
 60 months,0.2089,863.73,0.1884,OWN,car,Verified,Current,60.0,0.2089,0
 60 months,0.1523,71.74,0.1208,RENT,car,Verified,Current,60.0,0.1523,0
 60 months,0.1149,112.69,0.0843,MORTGAGE,car,Verified,Current,60.0,0.1149,0
 36 months,0.1065,162.87,0.2765,RENT,credit card,Verified,Fully Paid,36.0,0.1065,0
 36 months,0.0991,96.68,0.1256,RENT,credit card,Source Verified,Fully Paid,36.0,0.0991,0
 36 months,0.1171,330.76,0.1118,OWN,credit card,Source Verified,Fully Paid,36.0,0.1171,0
 36 months,0.0991,483.38,0.2944,MORTGAGE,credit card,Verified,Fully Paid,36.0,0.0991,0
 36 months,0.1171,281.15,0.1219,RENT,credit card,Source Verified,Fully Paid,36.0,0.1171,0
 36 months,0.1596,245.97,0.0635,RENT,credit card,Source Verified,Fully Paid,36.0,0.1596,0
 36 months,0.1065,403.91,0.118,RENT,credit card,Not Verified,Fully Paid,36.0,0.1065,0
 36 months,0.0603,304.36,0.1274,RENT,credit card,Not Verified,Fully Paid,36.0,0.0603,0
 36 months,0.0991,824.96,0.1571,RENT,credit card,Verified,Fully Paid,36.0,0.0991,0
 36 months,0.0991,386.7,0.0811,RENT,credit card,Not Verified,Fully Paid,36.0,0.0991,0
 60 months,0.1991,423.11,0.2052,RENT,credit card,Verified,Fully Paid,60.0,0.1991,0
 36 months,0.1065,325.74,0.1914,RENT,credit card,Not Verified,Fully Paid,36.0,0.1065,0
 36 months,0.1465,517.42,0.1188,OWN,credit card,Verified,Fully Paid,36.0,0.1465,0
 60 months,0.1758,341.63,0.1879,MORTGAGE,credit card,Verified,Fully Paid,60.0,0.1758,0
 36 months,0.1677,426.47,0.2057,RENT,credit card,Not Verified,Fully Paid,36.0,0.1677,0
 36 months,0.1427,343.09,0.1539,RENT,credit card,Source Verified,Fully Paid,36.0,0.1427,0
 36 months,0.1269,395.83,0.0986,RENT,credit card,Source Verified,Fully Paid,36.0,0.1269,0
 36 months,0.1269,234.82,0.1135,RENT,credit card,Source Verified,Fully Paid,36.0,0.1269,0
 36 months,0.1065,390.88,0.2394,RENT,credit card,Verified,Fully Paid,36.0,0.1065,0
 36 months,0.1065,228.02,0.0538,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.1065,0
 60 months,0.2206,423.1,0.2058,RENT,credit card,Verified,Current,60.0,0.2206,0
 60 months,0.1727,437.47,0.2131,MORTGAGE,credit card,Not Verified,Charged Off,60.0,0.1727,1
 36 months,0.0991,232.02,0.0612,RENT,credit card,Not Verified,Fully Paid,36.0,0.0991,0
 36 months,0.089,301.66,0.0818,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.089,0
 36 months,0.1825,362.78,0.2414,RENT,credit card,Source Verified,Charged Off,36.0,0.1825,1
 36 months,0.1171,264.61,0.097,MORTGAGE,credit card,Verified,Fully Paid,36.0,0.1171,0
 60 months,0.1349,575.12,0.1415,MORTGAGE,credit card,Verified,Charged Off,60.0,0.1349,1
 60 months,0.203,559.89,0.2321,RENT,credit card,Verified,Fully Paid,60.0,0.203,0
 36 months,0.0751,311.11,0.0975,RENT,credit card,Not Verified,Fully Paid,36.0,0.0751,0
 36 months,0.1269,234.82,0.158,RENT,credit card,Source Verified,Fully Paid,36.0,0.1269,0
 36 months,0.0662,271.73,0.1771,RENT,credit card,Source Verified,Fully Paid,36.0,0.0662,0
 36 months,0.1171,198.46,0.0297,RENT,credit card,Not Verified,Fully Paid,36.0,0.1171,0
 36 months,0.0662,340.82,0.2985,RENT,credit card,Verified,Charged Off,36.0,0.0662,1
 60 months,0.1349,460.1,0.1768,RENT,credit card,Not Verified,Fully Paid,60.0,0.1349,0
 36 months,0.1629,423.61,0.1818,MORTGAGE,credit card,Verified,Fully Paid,36.0,0.1629,0
 60 months,0.1349,309.99,0.2189,RENT,credit card,Verified,Charged Off,60.0,0.1349,1
 36 months,0.0603,258.71,0.0173,RENT,credit card,Not Verified,Fully Paid,36.0,0.0603,0
 36 months,0.0991,257.8,0.1828,RENT,credit card,Source Verified,Fully Paid,36.0,0.0991,0
 36 months,0.1242,267.33,0.15,RENT,credit card,Not Verified,Fully Paid,36.0,0.1242,0
 36 months,0.0662,307.04,0.1678,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.0662,0
 36 months,0.0991,435.04,0.2293,MORTGAGE,credit card,Source Verified,Fully Paid,36.0,0.0991,0
 36 months,0.1242,133.67,0.1212,RENT,credit card,Verified,Fully Paid,36.0,0.1242,0
 36 months,0.1065,456.03,0.1552,RENT,credit card,Source Verified,Fully Paid,36.0,0.1065,0
 36 months,0.1065,293.16,0.0889,MORTGAGE,credit card,Source Verified,Fully Paid,36.0,0.1065,0
 36 months,0.1065,390.88,0.1084,RENT,credit card,Not Verified,Fully Paid,36.0,0.1065,0
 36 months,0.089,190.52,0.1451,RENT,credit card,Not Verified,Fully Paid,36.0,0.089,0
 36 months,0.1527,400.18,0.2169,MORTGAGE,credit card,Verified,Fully Paid,36.0,0.1527,0
 36 months,0.1349,394.45,0.1933,MORTGAGE,credit card,Source Verified,Fully Paid,36.0,0.1349,0
 36 months,0.1527,184.43,0.2488,RENT,credit card,Verified,Fully Paid,36.0,0.1527,0
 36 months,0.1242,400.99,0.1398,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.1242,0
 36 months,0.1427,296.78,0.076,MORTGAGE,credit card,Source Verified,Fully Paid,36.0,0.1427,0
 60 months,0.1171,154.69,0.2622,MORTGAGE,credit card,Verified,Charged Off,60.0,0.1171,1
 36 months,0.1242,654.94,0.1162,RENT,credit card,Verified,Fully Paid,36.0,0.1242,0
 36 months,0.1269,335.45,0.0269,RENT,credit card,Not Verified,Charged Off,36.0,0.1269,1
 36 months,0.0662,307.04,0.2685,RENT,credit card,Not Verified,Fully Paid,36.0,0.0662,0
 36 months,0.1465,413.94,0.1487,RENT,credit card,Verified,Fully Paid,36.0,0.1465,0
 36 months,0.1242,360.89,0.1212,RENT,credit card,Verified,Fully Paid,36.0,0.1242,0
 36 months,0.1242,467.82,0.0735,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.1242,0
 36 months,0.1242,334.16,0.1831,RENT,credit card,Source Verified,Charged Off,36.0,0.1242,1
 36 months,0.1242,601.48,0.1251,OWN,credit card,Verified,Fully Paid,36.0,0.1242,0
 36 months,0.1349,339.31,0.0588,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.1349,0
 36 months,0.089,571.56,0.07,RENT,credit card,Verified,Fully Paid,36.0,0.089,0
 36 months,0.1596,281.1,0.1404,RENT,credit card,Source Verified,Fully Paid,36.0,0.1596,0
 60 months,0.1527,430.78,0.1141,MORTGAGE,credit card,Verified,Current,60.0,0.1527,0
 36 months,0.0751,373.33,0.0708,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.0751,0
 36 months,0.1171,476.3,0.1635,RENT,credit card,Not Verified,Fully Paid,36.0,0.1171,0
 36 months,0.1242,334.16,0.1158,RENT,credit card,Not Verified,Fully Paid,36.0,0.1242,0
 36 months,0.1171,264.61,0.0248,RENT,credit card,Not Verified,Fully Paid,36.0,0.1171,0
 36 months,0.1629,282.41,0.1322,RENT,credit card,Not Verified,Charged Off,36.0,0.1629,1
 36 months,0.1171,438.26,0.2235,OWN,credit card,Not Verified,Fully Paid,36.0,0.1171,0
 36 months,0.1629,353.01,0.2439,RENT,credit card,Verified,Fully Paid,36.0,0.1629,0
 36 months,0.1269,939.26,0.1235,RENT,credit card,Source Verified,Fully Paid,36.0,0.1269,0
 60 months,0.1991,238.0,0.2256,RENT,credit card,Verified,Charged Off,60.0,0.1991,1
 36 months,0.0603,127.83,0.0892,RENT,credit card,Not Verified,Fully Paid,36.0,0.0603,0
 36 months,0.1527,155.72,0.1879,RENT,credit card,Not Verified,Fully Paid,36.0,0.1527,0
 60 months,0.1465,472.14,0.1215,MORTGAGE,credit card,Verified,Current,60.0,0.1465,0
 36 months,0.1242,400.99,0.2249,RENT,credit card,Source Verified,Fully Paid,36.0,0.1242,0
 60 months,0.1903,467.23,0.1132,RENT,credit card,Source Verified,Current,60.0,0.1903,0
 36 months,0.1171,208.38,0.072,RENT,credit card,Not Verified,Fully Paid,36.0,0.1171,0
 60 months,0.1677,494.59,0.2282,RENT,credit card,Verified,Current,60.0,0.1677,0
 36 months,0.1171,330.76,0.2183,RENT,credit card,Not Verified,Charged Off,36.0,0.1171,1
 36 months,0.1465,206.97,0.2139,RENT,credit card,Not Verified,Fully Paid,36.0,0.1465,0
 36 months,0.1427,686.18,0.0621,MORTGAGE,credit card,Verified,Fully Paid,36.0,0.1427,0
 60 months,0.1596,365.67,0.2341,MORTGAGE,credit card,Verified,Fully Paid,60.0,0.1596,0
 60 months,0.1942,654.31,0.2004,RENT,credit card,Verified,Charged Off,60.0,0.1942,1
 36 months,0.1269,251.59,0.0441,RENT,credit card,Not Verified,Fully Paid,36.0,0.1269,0
 36 months,0.1727,161.05,0.0434,RENT,credit card,Not Verified,Fully Paid,36.0,0.1727,0
 36 months,0.0991,322.25,0.1906,RENT,credit card,Not Verified,Fully Paid,36.0,0.0991,0
 36 months,0.1171,463.07,0.1297,RENT,credit card,Not Verified,Fully Paid,36.0,0.1171,0
 60 months,0.1903,648.93,0.1715,MORTGAGE,credit card,Verified,Fully Paid,60.0,0.1903,0
 36 months,0.1427,480.33,0.033,RENT,credit card,Not Verified,Fully Paid,36.0,0.1427,0
 36 months,0.089,381.04,0.1708,MORTGAGE,credit card,Verified,Fully Paid,36.0,0.089,0
 36 months,0.0991,241.69,0.1235,RENT,credit card,Not Verified,Fully Paid,36.0,0.0991,0
 36 months,0.1171,231.54,0.1219,RENT,credit card,Verified,Fully Paid,36.0,0.1171,0
 36 months,0.1242,534.65,0.1367,RENT,credit card,Verified,Fully Paid,36.0,0.1242,0
 36 months,0.1629,345.95,0.2101,RENT,credit card,Not Verified,Fully Paid,36.0,0.1629,0
 36 months,0.1427,223.01,0.1012,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.1427,0
 36 months,0.1596,281.1,0.1634,RENT,credit card,Not Verified,Fully Paid,36.0,0.1596,0
 36 months,0.1465,517.42,0.1456,MORTGAGE,credit card,Source Verified,Fully Paid,36.0,0.1465,0
 36 months,0.1242,300.74,0.191,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.1242,0
 36 months,0.079,62.59,0.0509,RENT,credit card,Not Verified,Fully Paid,36.0,0.079,0
 36 months,0.1171,215.0,0.0626,RENT,credit card,Not Verified,Fully Paid,36.0,0.1171,0
 36 months,0.079,312.91,0.2792,RENT,credit card,Verified,Fully Paid,36.0,0.079,0
 36 months,0.089,222.28,0.079,RENT,credit card,Verified,Fully Paid,36.0,0.089,0
 36 months,0.0991,418.93,0.0882,RENT,credit card,Verified,Fully Paid,36.0,0.0991,0
 36 months,0.089,523.93,0.131,RENT,credit card,Not Verified,Fully Paid,36.0,0.089,0
 36 months,0.1903,982.79,0.2159,MORTGAGE,credit card,Source Verified,Fully Paid,36.0,0.1903,0
 36 months,0.1242,133.67,0.1964,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.1242,0
 36 months,0.0991,386.7,0.188,OWN,credit card,Not Verified,Fully Paid,36.0,0.0991,0
 36 months,0.1269,379.06,0.1633,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.1269,0
 36 months,0.0751,127.56,0.0658,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.0751,0
 36 months,0.1269,348.87,0.1991,RENT,credit card,Source Verified,Fully Paid,36.0,0.1269,0
 36 months,0.1242,384.28,0.1306,RENT,credit card,Source Verified,Fully Paid,36.0,0.1242,0
 60 months,0.1825,428.9,0.215,MORTGAGE,credit card,Verified,Fully Paid,60.0,0.1825,0
 60 months,0.1942,654.31,0.2113,RENT,credit card,Verified,Current,60.0,0.1942,0
 60 months,0.1903,355.62,0.1806,RENT,credit card,Verified,Fully Paid,60.0,0.1903,0
 36 months,0.1171,396.92,0.0658,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.1171,0
 60 months,0.1465,283.28,0.1613,RENT,credit card,Verified,Charged Off,60.0,0.1465,1
 36 months,0.1465,500.17,0.0524,RENT,credit card,Verified,Fully Paid,36.0,0.1465,0
 60 months,0.1465,276.2,0.1817,RENT,credit card,Verified,Fully Paid,60.0,0.1465,0
 36 months,0.1677,852.93,0.1257,RENT,credit card,Verified,Fully Paid,36.0,0.1677,0
 60 months,0.1349,460.1,0.0909,RENT,credit card,Verified,Fully Paid,60.0,0.1349,0
 60 months,0.1825,306.36,0.1524,RENT,credit card,Verified,Fully Paid,60.0,0.1825,0
 36 months,0.1596,175.69,0.1963,OWN,credit card,Source Verified,Fully Paid,36.0,0.1596,0
 36 months,0.1171,859.98,0.1655,RENT,credit card,Verified,Fully Paid,36.0,0.1171,0
 60 months,0.1864,386.15,0.1797,MORTGAGE,credit card,Verified,Fully Paid,60.0,0.1864,0
 36 months,0.1171,231.54,0.2464,MORTGAGE,credit card,Verified,Fully Paid,36.0,0.1171,0
 36 months,0.1629,353.01,0.1703,RENT,credit card,Source Verified,Fully Paid,36.0,0.1629,0
 60 months,0.1677,556.41,0.1091,RENT,credit card,Verified,Fully Paid,60.0,0.1677,0
 36 months,0.1065,201.96,0.1995,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.1065,0
 36 months,0.1427,411.71,0.0849,RENT,credit card,Source Verified,Charged Off,36.0,0.1427,1
 36 months,0.1942,921.72,0.2168,MORTGAGE,credit card,Verified,Fully Paid,36.0,0.1942,0
 36 months,0.1171,264.61,0.2021,RENT,credit card,Not Verified,Fully Paid,36.0,0.1171,0
 60 months,0.1825,408.48,0.1839,MORTGAGE,credit card,Verified,Charged Off,60.0,0.1825,1
 36 months,0.1465,579.51,0.1452,RENT,credit card,Verified,Fully Paid,36.0,0.1465,0
 36 months,0.089,254.03,0.1052,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.089,0
 36 months,0.079,344.2,0.0474,MORTGAGE,credit card,Not Verified,Charged Off,36.0,0.079,1
 36 months,0.0991,161.13,0.1392,RENT,credit card,Source Verified,Fully Paid,36.0,0.0991,0
 36 months,0.1629,353.01,0.1661,RENT,credit card,Source Verified,Fully Paid,36.0,0.1629,0
 36 months,0.1065,162.87,0.1711,OWN,credit card,Not Verified,Fully Paid,36.0,0.1065,0
 60 months,0.2089,661.3,0.0909,RENT,credit card,Verified,Charged Off,60.0,0.2089,1
 60 months,0.1942,560.09,0.1966,RENT,credit card,Verified,Fully Paid,60.0,0.1942,0
 36 months,0.079,406.78,0.1693,RENT,credit card,Not Verified,Charged Off,36.0,0.079,1
 60 months,0.1903,500.33,0.2682,MORTGAGE,credit card,Verified,Fully Paid,60.0,0.1903,0
 36 months,0.1427,370.54,0.0267,MORTGAGE,credit card,Source Verified,Fully Paid,36.0,0.1427,0
 36 months,0.079,187.75,0.1917,RENT,credit card,Not Verified,Fully Paid,36.0,0.079,0
 36 months,0.089,1111.37,0.1209,MORTGAGE,credit card,Verified,Fully Paid,36.0,0.089,0
 60 months,0.1991,396.66,0.2085,RENT,credit card,Verified,Fully Paid,60.0,0.1991,0
 36 months,0.1677,426.47,0.1346,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.1677,0
 60 months,0.2274,628.13,0.0702,RENT,credit card,Not Verified,Charged Off,60.0,0.2274,1
 36 months,0.1242,200.5,0.072,RENT,credit card,Source Verified,Fully Paid,36.0,0.1242,0
 60 months,0.1825,536.13,0.1355,RENT,credit card,Verified,Current,60.0,0.1825,0
 36 months,0.1242,427.72,0.1995,MORTGAGE,credit card,Not Verified,Fully Paid,36.0,0.1242,0
 36 months,0.0662,293.99,0.1834,RENT,credit card,Verified,Fully Paid,36.0,0.0662,0
 36 months,0.1269,335.45,0.2261,RENT,credit card,Verified,Fully Paid,36.0,0.1269,0
 36 months,0.1065,474.76,0.1646,RENT,credit card,Not Verified,Fully Paid,36.0,0.1065,0
 36 months,0.1758,256.09,0.168,RENT,credit card,Not Verified,Fully Paid,36.0,0.1758,0
 60 months,0.203,479.9,0.1798,RENT,credit card,Verified,Fully Paid,60.0,0.203,0
 36 months,0.1242,233.91,0.1511,RENT,credit card,Source Verified,Fully Paid,36.0,0.1242,0
 36 months,0.1349,152.69,0.1956,OWN,credit card,Source Verified,Fully Paid,36.0,0.1349,0
 36 months,0.1065,195.44,0.1936,RENT,credit card,Not Verified,Fully Paid,36.0,0.1065,0
 36 months,0.1427,355.96,0.2239,RENT,credit card,Not Verified,Fully Paid,36.0,0.1427,0
 60 months,0.203,533.23,0.1802,RENT,credit card,Verified,Fully Paid,60.0,0.203,0
 36 months,0.1677,298.53,0.1695,RENT,credit card,Verified,Fully Paid,36.0,0.1677,0
